//  ======  —”ў≈—“¬»“≈Ћ№Ќџ≈   ========

// существительные мужского рода
аа A — мр,ед,им
аб A — мр,ед,рд
Ёф A — мр,ед,рд,2
ав A — мр,ед,дт
аг A — мр,ед,вн
ад A — мр,ед,тв
ае A — мр,ед,пр
Ёх A — мр,ед,пр,2
ас A — мр,ед,зв,
аж A — мр,мн,им
аз A — мр,мн,рд
аи A — мр,мн,дт
ай A — мр,мн,вн
ак A — мр,мн,тв
ал A — мр,мн,пр
ам B — мр,0
ан B — мр,ед,0

// =============  разговорный  ================
ёо A — мр,ед,им,разг 
ёп A — мр,ед,рд,разг 
ёр A — мр,ед,дт,разг 
ёс A — мр,ед,вн,разг 
ёт A — мр,ед,тв,разг 
ёф A — мр,ед,пр,разг 
ёх A — мр,ед,зв,разг 
яб A — мр,мн,им,разг 
яа A — мр,мн,рд,разг
яв A — мр,мн,дт,разг
яг A — мр,мн,вн,разг
яд A — мр,мн,тв,разг
яж A — мр,мн,пр,разг


// =============  архаизм  ================
го A — мр,ед,им,арх 
гп A — мр,ед,рд,арх 
гр A — мр,ед,дт,арх 
гс A — мр,ед,вн,арх 
гт A — мр,ед,тв,арх 
гу A — мр,ед,пр,арх 
гф A — мр,мн,им,арх 
гх A — мр,мн,рд,арх
гц A — мр,мн,дт,арх
гч A — мр,мн,вн,арх
гш A — мр,мн,тв,арх
гщ A — мр,мн,пр,арх


// существительные мужского-женского рода

ва E — мр-жр,ед,им
вб E — мр-жр,ед,рд
вв E — мр-жр,ед,дт
вг E — мр-жр,ед,вн
вд E — мр-жр,ед,тв
ве E — мр-жр,ед,пр
вж E — мр-жр,мн,им
вз E — мр-жр,мн,рд
ви E — мр-жр,мн,дт
вй E — мр-жр,мн,вн
вк E — мр-жр,мн,тв
вл E — мр-жр,мн,пр
вм F — мр-жр,0
вн F — мр-жр,ед,0


// существительные мужского-женского рода (архаизм)
во E — арх,мр-жр,ед,им
вп E — арх,мр-жр,ед,рд
вр E — арх,мр-жр,ед,дт
вс E — арх,мр-жр,ед,вн
вт E — арх,мр-жр,ед,тв
ву E — арх,мр-жр,ед,пр
вф E — арх,мр-жр,мн,им
вх E — арх,мр-жр,мн,рд
вц E — арх,мр-жр,мн,дт
вч E — арх,мр-жр,мн,вн
вш E — арх,мр-жр,мн,тв
вщ E — арх,мр-жр,мн,пр

// существительные женского рода
га G — жр,ед,им
гб G — жр,ед,рд
гв G — жр,ед,дт
гг G — жр,ед,вн
гд G — жр,ед,тв
ге G — жр,ед,пр
